common_name,latin_name,functional_type,lifeform_description,event,cohort,pr_model,group,group_type,reg2_type,si_model,t0,T_base,t0_chill,T_min,T_opt,T_max,C_req,f,F_crit,alpha,p_alpha,beta,p_beta,gamma,p_gamma,delta,p_delta,mae,mbe
Red Maple,Acer rubrum,Deciduous broadleaf,tree,leaf,Middle leaf,TT,,,MAT,NOSPL_REG2MAT,62,0.445100521,NA,NA,NA,NA,NA,NA,224.2802821,6.011382237,0,0.016370613,3.47E-139,-6.689296787,9.86E-12,0.59673806,1.67E-11,9.548998945,0.505748074
Sugar Maple,Acer saccharum,Deciduous broadleaf,tree,leaf,Middle leaf,TT,,,MAT,NOSPL_REG2MAT,62,2.906876008,NA,NA,NA,NA,NA,NA,120.8501745,6.65541814,0,0.009885124,3.29E-11,-21.23706522,2.26E-42,2.442971404,5.25E-45,8.839437814,-0.433789207
Tuliptree,Liriodendron tulipifera,Deciduous broadleaf,tree,leaf,Early leaf,TT,,,MAT,NOSPL_REG2MAT,62,0.001424363,NA,NA,NA,NA,NA,NA,223.886672,7.836089909,1.61E-192,0.006165827,1.21E-07,-24.03848836,4.77E-09,1.841121981,1.72E-09,9.057811267,0.418704559
American Beech,Fagus grandifolia,Deciduous broadleaf,tree,leaf,Late leaf,TT,,,MAT,NOSPL_REG2MAT,62,1.854972295,NA,NA,NA,NA,NA,NA,150.7019395,6.27845823,8.65E-249,0.008330419,1.35E-16,-12.34151974,2.98E-15,1.336668379,8.97E-18,8.218885791,-0.067773376
Northern Red Oak,Quercus rubra,Deciduous broadleaf,tree,leaf,Late leaf,TT,,,MAT,NOSPL_REG2MAT,62,0.397226063,NA,NA,NA,NA,NA,NA,247.2025483,6.390458359,8.26E-197,0.007929597,1.28E-10,-13.27140943,6.75E-08,1.456490589,1.16E-08,8.331742529,0.236237673
Sweetgum,Liquidambar styraciflua,Deciduous broadleaf,tree,leaf,Middle leaf,SQ,lat2_ge40N,LAT2,,SPLLAT2,62,0.326149302,29.01524816,-4.689797753,-1.265661417,14.27350946,3.001494875,NA,315.4786919,6.215780424,1.23E-12,0.014767538,0.009477811,NA,NA,NA,NA,7.666666667,-1.6
Sweetgum,Liquidambar styraciflua,Deciduous broadleaf,tree,leaf,Middle leaf,TT,lat2_lt40N,LAT2,,SPLLAT2,62,0.443784723,NA,NA,NA,NA,NA,NA,281.118279,8.229662357,5.20E-116,0.00482359,4.34E-07,NA,NA,NA,NA,6.181818182,-0.200956938
Flowering Dogwood,Cornus florida,Deciduous broadleaf,shrub or tree,leaf,Middle leaf,TT,,,MAT,NOSPL_REG2MAT,62,0.479356256,NA,NA,NA,NA,NA,NA,231.3977328,7.63199931,6.05E-108,0.004680529,0.002843477,-36.33457423,5.73E-10,2.749966753,8.22E-10,9.000448001,-1.335566967
Quaking Aspen,Populus tremuloides,Deciduous broadleaf,tree,leaf,Middle leaf,TT,,,MAT,NOSPL_REG2MAT,62,7.118001043,NA,NA,NA,NA,NA,NA,50.28346887,6.37600027,2.28E-147,0.010877144,0.027734973,-18.01737667,9.77E-12,2.826106942,9.24E-13,10.19512165,1.22783128
White Oak,Quercus alba,Deciduous broadleaf,tree,leaf,Late leaf,TT,,,MAT,NOSPL_REG2MAT,62,8.324760904,NA,NA,NA,NA,NA,NA,61.64527255,6.410437953,2.48E-139,0.024289334,2.09E-11,-21.96511208,1.85E-13,2.098828577,1.78E-14,8.814017564,-1.435939108
